strain	virus	gisaid_epi_isl	genbank_accession	date	region	country	division	location	region_exposure	country_exposure	division_exposure	segment	length	host	age	sex	Nextstrain_clade	pangolin_lineage	GISAID_clade	originating_lab	submitting_lab	authors	url	title	paper_url	date_submitted	purpose_of_sequencing
hCoV-19/Scotland/QEUH-3D90306/2022	betacoronavirus	EPI_ISL_12281998	?	2022-04-19	Europe	United Kingdom	Scotland		Europe	United Kingdom	Scotland	genome	29709	Human	unknown	unknown	?	BA.4	GRA	Lighthouse Lab in Glasgow	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) Consortium	Harper VanSteenhouse, Yumi Kasai, David Gray, Carol Clugston, Anna Dominiczak and Alex Alderton, Roberto Amato, Jeffrey Barrett, Sonia Goncalves, Ewan Harrison, David K. Jackson, Ian Johnston, Dominic Kwiatkowski, Cordelia Langford, John Sillitoe on behalf of the Wellcome Sanger Institute COVID-19 Surveillance Team	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/Scotland/QEUH-3D87F77/2022	betacoronavirus	EPI_ISL_12283356	?	2022-04-18	Europe	United Kingdom	Scotland		Europe	United Kingdom	Scotland	genome	29709	Human	unknown	unknown	?	BA.4	GRA	Lighthouse Lab in Glasgow	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) Consortium	Harper VanSteenhouse, Yumi Kasai, David Gray, Carol Clugston, Anna Dominiczak and Alex Alderton, Roberto Amato, Jeffrey Barrett, Sonia Goncalves, Ewan Harrison, David K. Jackson, Ian Johnston, Dominic Kwiatkowski, Cordelia Langford, John Sillitoe on behalf of the Wellcome Sanger Institute COVID-19 Surveillance Team	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/Denmark/DCGC-493496/2022	betacoronavirus	EPI_ISL_12286266	?	2022-04-18	Europe	Denmark	Hovedstaden		Europe	Denmark	Hovedstaden	genome	29740	Human	unknown	unknown	?	BA.4	GRA	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	Statens Serum Institut  Bioinformatics and Microbial Genomics	Danish Covid-19 Genome Consortium	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/Austria/LB-R00071-S003/2022	betacoronavirus	EPI_ISL_12292990	?	2022-04-19	Europe	Austria	Vienna		Europe	Austria	Vienna	genome	29776	Human	unknown	unknown	?	BA.4	GRA	Lifebrain Covid Labor GmbH	Lifebrain Covid Labor GmbH	Filip Sima, Alexandra Wagner, Kristina Bavrka Kolenc, Lucia Castello, Hannes Hagen, Abhishek Mitra, So Jung Han, Florian Scharhauser	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/Austria/LB-R00071-S005/2022	betacoronavirus	EPI_ISL_12292992	?	2022-04-19	Europe	Austria	Vienna		Europe	Austria	Vienna	genome	29781	Human	unknown	unknown	?	BA.4	GRA	Lifebrain Covid Labor GmbH	Lifebrain Covid Labor GmbH	Filip Sima, Alexandra Wagner, Kristina Bavrka Kolenc, Lucia Castello, Hannes Hagen, Abhishek Mitra, So Jung Han, Florian Scharhauser	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/Austria/LB-R00071-S094/2022	betacoronavirus	EPI_ISL_12293081	?	2022-04-13	Europe	Austria	Vienna		Europe	Austria	Vienna	genome	29779	Human	unknown	unknown	?	BA.4	GRA	Lifebrain Covid Labor GmbH	Lifebrain Covid Labor GmbH	Filip Sima, Alexandra Wagner, Kristina Bavrka Kolenc, Lucia Castello, Hannes Hagen, Abhishek Mitra, So Jung Han, Florian Scharhauser	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/Austria/LB-R00071-S154/2022	betacoronavirus	EPI_ISL_12293138	?	2022-04-20	Europe	Austria	Vienna		Europe	Austria	Vienna	genome	29377	Human	unknown	unknown	?	BA.4	GRA	Lifebrain Covid Labor GmbH	Lifebrain Covid Labor GmbH	Filip Sima, Alexandra Wagner, Kristina Bavrka Kolenc, Lucia Castello, Hannes Hagen, Abhishek Mitra, So Jung Han, Florian Scharhauser	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/Austria/LB-R00071-S155/2022	betacoronavirus	EPI_ISL_12293139	?	2022-04-19	Europe	Austria	Vienna		Europe	Austria	Vienna	genome	29751	Human	unknown	unknown	?	BA.4	GRA	Lifebrain Covid Labor GmbH	Lifebrain Covid Labor GmbH	Filip Sima, Alexandra Wagner, Kristina Bavrka Kolenc, Lucia Castello, Hannes Hagen, Abhishek Mitra, So Jung Han, Florian Scharhauser	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/Austria/LB-R00071-S156/2022	betacoronavirus	EPI_ISL_12293140	?	2022-04-19	Europe	Austria	Vienna		Europe	Austria	Vienna	genome	29376	Human	unknown	unknown	?	BA.4	GRA	Lifebrain Covid Labor GmbH	Lifebrain Covid Labor GmbH	Filip Sima, Alexandra Wagner, Kristina Bavrka Kolenc, Lucia Castello, Hannes Hagen, Abhishek Mitra, So Jung Han, Florian Scharhauser	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/Austria/LB-R00071-S158/2022	betacoronavirus	EPI_ISL_12293142	?	2022-04-20	Europe	Austria	Vienna		Europe	Austria	Vienna	genome	29362	Human	unknown	unknown	?	BA.4	GRA	Lifebrain Covid Labor GmbH	Lifebrain Covid Labor GmbH	Filip Sima, Alexandra Wagner, Kristina Bavrka Kolenc, Lucia Castello, Hannes Hagen, Abhishek Mitra, So Jung Han, Florian Scharhauser	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/Austria/LB-R00071-S159/2022	betacoronavirus	EPI_ISL_12293143	?	2022-04-20	Europe	Austria	Vienna		Europe	Austria	Vienna	genome	29402	Human	unknown	unknown	?	BA.4	GRA	Lifebrain Covid Labor GmbH	Lifebrain Covid Labor GmbH	Filip Sima, Alexandra Wagner, Kristina Bavrka Kolenc, Lucia Castello, Hannes Hagen, Abhishek Mitra, So Jung Han, Florian Scharhauser	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/Austria/LB-R00071-S160/2022	betacoronavirus	EPI_ISL_12293144	?	2022-04-20	Europe	Austria	Vienna		Europe	Austria	Vienna	genome	29347	Human	unknown	unknown	?	BA.4	GRA	Lifebrain Covid Labor GmbH	Lifebrain Covid Labor GmbH	Filip Sima, Alexandra Wagner, Kristina Bavrka Kolenc, Lucia Castello, Hannes Hagen, Abhishek Mitra, So Jung Han, Florian Scharhauser	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/Austria/LB-R00071-S164/2022	betacoronavirus	EPI_ISL_12293148	?	2022-04-20	Europe	Austria	Vienna		Europe	Austria	Vienna	genome	29375	Human	unknown	unknown	?	BA.4	GRA	Lifebrain Covid Labor GmbH	Lifebrain Covid Labor GmbH	Filip Sima, Alexandra Wagner, Kristina Bavrka Kolenc, Lucia Castello, Hannes Hagen, Abhishek Mitra, So Jung Han, Florian Scharhauser	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/Austria/LB-R00071-S165/2022	betacoronavirus	EPI_ISL_12293149	?	2022-04-20	Europe	Austria	Vienna		Europe	Austria	Vienna	genome	29365	Human	unknown	unknown	?	BA.4	GRA	Lifebrain Covid Labor GmbH	Lifebrain Covid Labor GmbH	Filip Sima, Alexandra Wagner, Kristina Bavrka Kolenc, Lucia Castello, Hannes Hagen, Abhishek Mitra, So Jung Han, Florian Scharhauser	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/Austria/LB-R00071-S167/2022	betacoronavirus	EPI_ISL_12293150	?	2022-04-19	Europe	Austria	Vienna		Europe	Austria	Vienna	genome	29373	Human	unknown	unknown	?	BA.4	GRA	Lifebrain Covid Labor GmbH	Lifebrain Covid Labor GmbH	Filip Sima, Alexandra Wagner, Kristina Bavrka Kolenc, Lucia Castello, Hannes Hagen, Abhishek Mitra, So Jung Han, Florian Scharhauser	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/Austria/LB-R00071-S175/2022	betacoronavirus	EPI_ISL_12293158	?	2022-04-20	Europe	Austria	Vienna		Europe	Austria	Vienna	genome	29384	Human	unknown	unknown	?	BA.4	GRA	Lifebrain Covid Labor GmbH	Lifebrain Covid Labor GmbH	Filip Sima, Alexandra Wagner, Kristina Bavrka Kolenc, Lucia Castello, Hannes Hagen, Abhishek Mitra, So Jung Han, Florian Scharhauser	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/Austria/LB-R00071-S176/2022	betacoronavirus	EPI_ISL_12293159	?	2022-04-20	Europe	Austria	Vienna		Europe	Austria	Vienna	genome	29346	Human	unknown	unknown	?	BA.4	GRA	Lifebrain Covid Labor GmbH	Lifebrain Covid Labor GmbH	Filip Sima, Alexandra Wagner, Kristina Bavrka Kolenc, Lucia Castello, Hannes Hagen, Abhishek Mitra, So Jung Han, Florian Scharhauser	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/Austria/LB-R00071-S177/2022	betacoronavirus	EPI_ISL_12293160	?	2022-04-20	Europe	Austria	Vienna		Europe	Austria	Vienna	genome	29386	Human	unknown	unknown	?	BA.4	GRA	Lifebrain Covid Labor GmbH	Lifebrain Covid Labor GmbH	Filip Sima, Alexandra Wagner, Kristina Bavrka Kolenc, Lucia Castello, Hannes Hagen, Abhishek Mitra, So Jung Han, Florian Scharhauser	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/Austria/LB-R00071-S178/2022	betacoronavirus	EPI_ISL_12293161	?	2022-04-20	Europe	Austria	Vienna		Europe	Austria	Vienna	genome	29377	Human	unknown	unknown	?	BA.4	GRA	Lifebrain Covid Labor GmbH	Lifebrain Covid Labor GmbH	Filip Sima, Alexandra Wagner, Kristina Bavrka Kolenc, Lucia Castello, Hannes Hagen, Abhishek Mitra, So Jung Han, Florian Scharhauser	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/Austria/LB-R00071-S179/2022	betacoronavirus	EPI_ISL_12293162	?	2022-04-20	Europe	Austria	Vienna		Europe	Austria	Vienna	genome	29743	Human	unknown	unknown	?	BA.4	GRA	Lifebrain Covid Labor GmbH	Lifebrain Covid Labor GmbH	Filip Sima, Alexandra Wagner, Kristina Bavrka Kolenc, Lucia Castello, Hannes Hagen, Abhishek Mitra, So Jung Han, Florian Scharhauser	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/Austria/LB-R00071-S286/2022	betacoronavirus	EPI_ISL_12293267	?	2022-04-20	Europe	Austria	Vienna		Europe	Austria	Vienna	genome	29407	Human	unknown	unknown	?	BA.4	GRA	Lifebrain Covid Labor GmbH	Lifebrain Covid Labor GmbH	Filip Sima, Alexandra Wagner, Kristina Bavrka Kolenc, Lucia Castello, Hannes Hagen, Abhishek Mitra, So Jung Han, Florian Scharhauser	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/Austria/LB-R00071-S289/2022	betacoronavirus	EPI_ISL_12293270	?	2022-04-21	Europe	Austria	Vienna		Europe	Austria	Vienna	genome	29346	Human	unknown	unknown	?	BA.4	GRA	Lifebrain Covid Labor GmbH	Lifebrain Covid Labor GmbH	Filip Sima, Alexandra Wagner, Kristina Bavrka Kolenc, Lucia Castello, Hannes Hagen, Abhishek Mitra, So Jung Han, Florian Scharhauser	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/Austria/LB-R00071-S292/2022	betacoronavirus	EPI_ISL_12293273	?	2022-04-20	Europe	Austria	Vienna		Europe	Austria	Vienna	genome	29393	Human	unknown	unknown	?	BA.4	GRA	Lifebrain Covid Labor GmbH	Lifebrain Covid Labor GmbH	Filip Sima, Alexandra Wagner, Kristina Bavrka Kolenc, Lucia Castello, Hannes Hagen, Abhishek Mitra, So Jung Han, Florian Scharhauser	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/Austria/LB-R00071-S301/2022	betacoronavirus	EPI_ISL_12293281	?	2022-04-20	Europe	Austria	Vienna		Europe	Austria	Vienna	genome	29363	Human	unknown	unknown	?	BA.4	GRA	Lifebrain Covid Labor GmbH	Lifebrain Covid Labor GmbH	Filip Sima, Alexandra Wagner, Kristina Bavrka Kolenc, Lucia Castello, Hannes Hagen, Abhishek Mitra, So Jung Han, Florian Scharhauser	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/Austria/LB-R00071-S302/2022	betacoronavirus	EPI_ISL_12293282	?	2022-04-20	Europe	Austria	Vienna		Europe	Austria	Vienna	genome	29384	Human	unknown	unknown	?	BA.4	GRA	Lifebrain Covid Labor GmbH	Lifebrain Covid Labor GmbH	Filip Sima, Alexandra Wagner, Kristina Bavrka Kolenc, Lucia Castello, Hannes Hagen, Abhishek Mitra, So Jung Han, Florian Scharhauser	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/Austria/LB-R00071-S303/2022	betacoronavirus	EPI_ISL_12293283	?	2022-04-21	Europe	Austria	Vienna		Europe	Austria	Vienna	genome	29397	Human	unknown	unknown	?	BA.4	GRA	Lifebrain Covid Labor GmbH	Lifebrain Covid Labor GmbH	Filip Sima, Alexandra Wagner, Kristina Bavrka Kolenc, Lucia Castello, Hannes Hagen, Abhishek Mitra, So Jung Han, Florian Scharhauser	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/Austria/LB-R00071-S304/2022	betacoronavirus	EPI_ISL_12293284	?	2022-04-21	Europe	Austria	Vienna		Europe	Austria	Vienna	genome	29404	Human	unknown	unknown	?	BA.4	GRA	Lifebrain Covid Labor GmbH	Lifebrain Covid Labor GmbH	Filip Sima, Alexandra Wagner, Kristina Bavrka Kolenc, Lucia Castello, Hannes Hagen, Abhishek Mitra, So Jung Han, Florian Scharhauser	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/Austria/LB-R00071-S305/2022	betacoronavirus	EPI_ISL_12293285	?	2022-04-20	Europe	Austria	Vienna		Europe	Austria	Vienna	genome	29403	Human	unknown	unknown	?	BA.4	GRA	Lifebrain Covid Labor GmbH	Lifebrain Covid Labor GmbH	Filip Sima, Alexandra Wagner, Kristina Bavrka Kolenc, Lucia Castello, Hannes Hagen, Abhishek Mitra, So Jung Han, Florian Scharhauser	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/Austria/LB-R00071-S306/2022	betacoronavirus	EPI_ISL_12293286	?	2022-04-20	Europe	Austria	Vienna		Europe	Austria	Vienna	genome	29393	Human	unknown	unknown	?	BA.4	GRA	Lifebrain Covid Labor GmbH	Lifebrain Covid Labor GmbH	Filip Sima, Alexandra Wagner, Kristina Bavrka Kolenc, Lucia Castello, Hannes Hagen, Abhishek Mitra, So Jung Han, Florian Scharhauser	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/Austria/LB-R00071-S307/2022	betacoronavirus	EPI_ISL_12293287	?	2022-04-21	Europe	Austria	Vienna		Europe	Austria	Vienna	genome	29762	Human	unknown	unknown	?	BA.4	GRA	Lifebrain Covid Labor GmbH	Lifebrain Covid Labor GmbH	Filip Sima, Alexandra Wagner, Kristina Bavrka Kolenc, Lucia Castello, Hannes Hagen, Abhishek Mitra, So Jung Han, Florian Scharhauser	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/Austria/LB-R00071-S308/2022	betacoronavirus	EPI_ISL_12293288	?	2022-04-21	Europe	Austria	Vienna		Europe	Austria	Vienna	genome	29363	Human	unknown	unknown	?	BA.4	GRA	Lifebrain Covid Labor GmbH	Lifebrain Covid Labor GmbH	Filip Sima, Alexandra Wagner, Kristina Bavrka Kolenc, Lucia Castello, Hannes Hagen, Abhishek Mitra, So Jung Han, Florian Scharhauser	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/Austria/LB-R00071-S312/2022	betacoronavirus	EPI_ISL_12293291	?	2022-04-20	Europe	Austria	Vienna		Europe	Austria	Vienna	genome	29364	Human	unknown	unknown	?	BA.4	GRA	Lifebrain Covid Labor GmbH	Lifebrain Covid Labor GmbH	Filip Sima, Alexandra Wagner, Kristina Bavrka Kolenc, Lucia Castello, Hannes Hagen, Abhishek Mitra, So Jung Han, Florian Scharhauser	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/Austria/LB-R00071-S313/2022	betacoronavirus	EPI_ISL_12293292	?	2022-04-20	Europe	Austria	Vienna		Europe	Austria	Vienna	genome	29521	Human	unknown	unknown	?	BA.4	GRA	Lifebrain Covid Labor GmbH	Lifebrain Covid Labor GmbH	Filip Sima, Alexandra Wagner, Kristina Bavrka Kolenc, Lucia Castello, Hannes Hagen, Abhishek Mitra, So Jung Han, Florian Scharhauser	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/Austria/LB-R00071-S314/2022	betacoronavirus	EPI_ISL_12293293	?	2022-04-20	Europe	Austria	Vienna		Europe	Austria	Vienna	genome	29780	Human	unknown	unknown	?	BA.4	GRA	Lifebrain Covid Labor GmbH	Lifebrain Covid Labor GmbH	Filip Sima, Alexandra Wagner, Kristina Bavrka Kolenc, Lucia Castello, Hannes Hagen, Abhishek Mitra, So Jung Han, Florian Scharhauser	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/Canada/QC-L00462226001/2022	betacoronavirus	EPI_ISL_12295715	?	2022-04-04	North America	Canada	Quebec		North America	Canada	Quebec	genome	29415	Human	39	unknown	?	BA.4	GRA	Laboratoire de santé publique du Québec	Laboratoire de santé publique du Québec	Sandrine Moreira, Ioannis Ragoussis, Guillaume Bourque, Jesse Shapiro, Mark Lathrop and Judith Fafard on behalf of the CoVSeQ research group	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/SouthAfrica/NICD-N38872/2022	betacoronavirus	EPI_ISL_12307541	?	2022-04-05	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	24	Male	?	BA.4	GRA	AMPATH	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/SouthAfrica/NICD-N38874/2022	betacoronavirus	EPI_ISL_12307542	?	2022-04-04	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	31	Male	?	BA.4	GRA	AMPATH	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/SouthAfrica/NICD-N38875/2022	betacoronavirus	EPI_ISL_12307543	?	2022-04-04	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	33	Female	?	BA.4	GRA	AMPATH	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/SouthAfrica/NICD-N38876/2022	betacoronavirus	EPI_ISL_12307544	?	2022-04-04	Africa	South Africa	North West		Africa	South Africa	North West	genome	29708	Human	24	Female	?	BA.4	GRA	AMPATH	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/SouthAfrica/NICD-N38888/2022	betacoronavirus	EPI_ISL_12307548	?	2022-04-04	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	33	Female	?	BA.4	GRA	AMPATH	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/SouthAfrica/NICD-N38891/2022	betacoronavirus	EPI_ISL_12307550	?	2022-04-04	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	45	Female	?	BA.4	GRA	AMPATH	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/SouthAfrica/NICD-N38893/2022	betacoronavirus	EPI_ISL_12307551	?	2022-04-03	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	36	Male	?	BA.4	GRA	AMPATH	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/SouthAfrica/NICD-N38894/2022	betacoronavirus	EPI_ISL_12307552	?	2022-04-04	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	38	Female	?	BA.4	GRA	AMPATH	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/SouthAfrica/NICD-N38906/2022	betacoronavirus	EPI_ISL_12307560	?	2022-04-04	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	35	Male	?	BA.4	GRA	AMPATH	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/SouthAfrica/NICD-N38907/2022	betacoronavirus	EPI_ISL_12307561	?	2022-04-04	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	16	Male	?	BA.4	GRA	AMPATH	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/SouthAfrica/NICD-N38908/2022	betacoronavirus	EPI_ISL_12307562	?	2022-04-04	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	83	Female	?	BA.4	GRA	AMPATH	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/SouthAfrica/NICD-N38911/2022	betacoronavirus	EPI_ISL_12307564	?	2022-04-05	Africa	South Africa	KwaZulu-Natal		Africa	South Africa	KwaZulu-Natal	genome	29708	Human	65	Female	?	BA.4	GRA	AMPATH	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/SouthAfrica/NICD-N38918/2022	betacoronavirus	EPI_ISL_12307568	?	2022-04-04	Africa	South Africa	Mpumalanga		Africa	South Africa	Mpumalanga	genome	29708	Human	64	Male	?	BA.4	GRA	AMPATH	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/SouthAfrica/NICD-N38920/2022	betacoronavirus	EPI_ISL_12307569	?	2022-04-04	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	57	Female	?	BA.4	GRA	AMPATH	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/SouthAfrica/NICD-N38923/2022	betacoronavirus	EPI_ISL_12307571	?	2022-04-05	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	22	Male	?	BA.4	GRA	AMPATH	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/SouthAfrica/NICD-N38928/2022	betacoronavirus	EPI_ISL_12307575	?	2022-04-04	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	38	Female	?	BA.4	GRA	AMPATH	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/SouthAfrica/NICD-N38930/2022	betacoronavirus	EPI_ISL_12307577	?	2022-04-04	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	23	Male	?	BA.4	GRA	AMPATH	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/SouthAfrica/NICD-N38934/2022	betacoronavirus	EPI_ISL_12307580	?	2022-04-05	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	49	Female	?	BA.4	GRA	AMPATH	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/SouthAfrica/NICD-N38937/2022	betacoronavirus	EPI_ISL_12307582	?	2022-04-05	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	50	Female	?	BA.4	GRA	AMPATH	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/SouthAfrica/NICD-N38962/2022	betacoronavirus	EPI_ISL_12307584	?	2022-04-04	Africa	South Africa	North West		Africa	South Africa	North West	genome	29708	Human	35	Male	?	BA.4	GRA	TSHEPONG LABORATORY	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/SouthAfrica/NICD-N39062/2022	betacoronavirus	EPI_ISL_12307604	?	2022-04-03	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	8	Female	?	BA.4	GRA	VERMAAK	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN	https://www.gisaid.org/	?	?	2022-04-26	?
hCoV-19/SouthAfrica/NICD-N39065/2022	betacoronavirus	EPI_ISL_12307605	?	2022-03-28	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29723	Human	36	Male	?	BA.4	GRA	VERMAAK	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN	https://www.gisaid.org/	?	?	2022-04-26	?
